pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category
2025-09-15	Incorporating Uncertainty in Predictive Models Using Mobile Sensing and Clinical Data: A Case Study on Persistent Post-surgical Pain	Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT)		Ubicomp / ISWC 2025.	incorporating-uncertainty-imwut-2025	https://doi.org/10.1145/3729488		conferences
2025-07-15	Utilizing Semantic Textual Similarity for Clinical Survey Data Feature Selection	Findings of the Association for Computational Linguistics: ACL 2025		ACL 2025, Vienna.	utilizing-sts-acl-2025	https://doi.org/10.18653/v1/2025.findings-acl.27		conferences
2025-08-22	Patterns of maternal and child health services utilization and associated socioeconomic disparities in sub-Saharan Africa	Nature Communications		Nature Communications 16, 7840.	maternal-child-health-natcomm-2025	https://doi.org/10.1038/s41467-025-61350-8		manuscripts
2025-06-15	Multidomain postoperative recovery trajectories after lumbar and thoracolumbar spine surgery	The Spine Journal		The Spine Journal.	multidomain-recovery-spine-journal-2025			manuscripts
2025-06-01	Association between preoperative activity levels and postoperative complications in adult spinal deformity surgery	Spine Deformity		Spine Deformity 13 (6), 1761–1769.	preop-activity-spine-deformity-2025			manuscripts
2025-06-01	Sleep Physiology in Spine Disease: A Comparative Study of Cervical and Lumbar Patients	Clinical Spine Surgery		Clinical spine surgery.	sleep-physiology-spine-2025			manuscripts
2025-06-01	Rethinking measurement of movement-evoked pain with digital technology	The Journal of Pain		The Journal of Pain.	rethinking-movement-evoked-pain-2025			manuscripts
2025-06-01	Using machine learning to predict poor adherence to antiretroviral therapy among adolescents living with HIV in low resource settings	AIDS		AIDS.	ml-adherence-hiv-aids-2025			manuscripts
2026-02-01	Protocol for Personalised Prediction of Persistent Postsurgical Pain	BMJ Open		BMJ Open 16 (2), e107055.	protocol-persistent-postsurgical-pain-bmj-2026			manuscripts
2026-01-01	Addressing Cohort Variability with Adaptive Fusion of Wearable and Clinical Data: A Case Study in Predicting Pancreatic Surgery Outcomes	ACM Transactions on Computing for Healthcare		ACM Transactions on Computing for Healthcare.	adaptive-fusion-pancreatic-tochi-2026			manuscripts
2024-06-15	Using Artificial Intelligence to Identify Three Presenting Phenotypes of Chiari Type-1 Malformation and Syringomyelia	Neurosurgery		Neurosurgery 96 (6), 1341–1352.	chiari-phenotypes-neurosurg-2025	https://doi.org/10.1227/neu.0000000000003249		manuscripts
2024-09-01	Preoperative Mobile Health Data Improve Predictions of Recovery From Lumbar Spine Surgery	Neurosurgery		Neurosurgery 95 (3), 617–626.	preop-mhealth-lumbar-neurosurg-2024	https://doi.org/10.1227/neu.0000000000002911		manuscripts
2024-06-15	Predicting Multi-dimensional Surgical Outcomes with Multi-modal Mobile Sensing: A Case Study with Patients Undergoing Lumbar Spine Surgery	Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT)		Ubicomp / ISWC 2024.	predicting-surgical-outcomes-imwut-2024	https://doi.org/10.1145/3659628		conferences
2023-08-06	Assisting clinical decisions for scarcely available treatment via disentangled latent representation	Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD)		KDD 2023.	disentangled-latent-kdd-2023	https://doi.org/10.1145/3580305.3599774		conferences
2023-06-01	Validation of extracorporeal membrane oxygenation mortality prediction and severity of illness scores in an international COVID-19 cohort	Artificial Organs		Artificial Organs 47 (9), 1490–1502.	ecmo-validation-artificial-organs-2023			manuscripts
2024-06-01	Machine learning and lumbar spondylolisthesis	Seminars in Spine Surgery		Seminars in Spine Surgery 35 (3), 101048.	ml-lumbar-spondylolisthesis-2023			manuscripts
2023-06-01	Current and future applications of mobile health technology for evaluating spine surgery patients: a review	Journal of Neurosurgery: Spine		Journal of Neurosurgery: Spine 38 (5), 617–626.	mhealth-spine-review-jns-2023			manuscripts
